Data,Estrategia,Ativo_1,Qtd_1,Ativo_2,Qtd_2,Investido_R$
01/05/2026,Mês de Imóveis Físicos (CORE),KNRI11.SA,1,SNEL11.SA,6,219.24
01/06/2026,Mês de Renda Fixa e Crédito (CORE/SEG),AFHI11.SA,1,B5P211.SA,1,204.11
